Simulation Iteration,Q-Value,Q-value Difference
0.0,1.0,
37.0,0.9100220371611997,0.08997796283880033
95.0,0.9010079668555171,0.009014070305682576
312.0,0.8732987579240249,0.027709208931492202
383.0,0.8704764985083877,0.002822259415637185
409.0,0.8701877318828746,0.00028876662551313714
466.0,0.8701581462827845,2.958560009003186e-05
543.0,0.8692241578953963,0.0009339883873882293
547.0,0.8691276704199451,9.648747545121239e-05
585.0,0.8587789698417753,0.010348700578169834
715.0,0.8202844344822431,0.03849453535953218
788.0,0.8160791088207687,0.004205325661474357
879.0,0.8107393574350943,0.0053397513856744405
1007.0,0.781857691085701,0.028881666349393265
1042.0,0.758205186431242,0.023652504654459006
1242.0,0.7551830799051086,0.003022106526133439
1393.0,0.7473801865531571,0.007802893351951501
1495.0,0.7459490902836589,0.001431096269498222
1641.0,0.7444845449456461,0.0014645453380127682
1815.0,0.7509441236023041,0.006459578656658027
1994.0,0.7516411237708973,0.0006970001685931981
2109.0,0.7516730412990249,3.1917528127589634e-05
2263.0,0.7345952551990848,0.01707778609994015
2292.0,0.7326531713690922,0.0019420838299925025
2443.0,0.7324321617669364,0.00022100960215587495
2510.0,0.7324067934372445,2.5368329691910496e-05
2656.0,0.7324038741926181,2.9192446263648364e-06
2900.0,0.7324035368605397,3.3733207838171353e-07
2911.0,0.7324034973036451,3.9556894648740126e-08
2946.0,0.7324034925708458,4.732799263607035e-09
3033.0,0.7318012326637175,0.0006022599071282553
3056.0,0.7317299529324566,7.127973126097586e-05
3063.0,0.7317215059400733,8.446992383226437e-06
3173.0,0.7303643550598043,0.001357150880268998
3183.0,0.7301049853480617,0.0002593697117426741
3191.0,0.7300107579275548,9.422742050690935e-05
3282.0,0.7299995197057519,1.1238221802822856e-05
3293.0,0.7299981720231341,1.3476826178360213e-06
3449.0,0.729998013527028,1.5849610612850284e-07
3459.0,0.729997994138604,1.93884239774178e-08
3619.0,0.7299979916158492,2.5227547828521324e-09
3788.0,0.7299979914822662,1.33583033523621e-10
3896.0,0.7293349230174888,0.0006630684647773721
3944.0,0.5948368860974025,0.13449803692008633
3950.0,0.5781841805947396,0.016652705502662846
4003.0,0.5760416434699763,0.0021425371247633107
4006.0,0.5757756092546648,0.00026603421531157245
4013.0,0.5757425722436259,3.303701103885004e-05
4310.0,0.7098119204716041,0.13406934822797822
4355.0,0.7266991504537976,0.016887229982193497
4477.0,0.7288296482818694,0.0021304978280717313
4499.0,0.7291001592801546,0.00027051099828523384
4523.0,0.5720999235612239,0.15700023571893074
4557.0,0.552124234581666,0.019975688979557815
4723.0,0.549580913391706,0.002543321189960035
4913.0,0.5216481319680013,0.0279327814237047
4921.0,0.518028933965325,0.0036191980026762938
4979.0,0.5175599891828501,0.00046894478247494487
4997.0,0.5057261883551651,0.011833800827684926
5330.0,0.5041904203533287,0.0015357680018364128
5426.0,0.6491303603686257,0.14493994001529698
5428.0,0.6683501984834254,0.01921983811479966
5441.0,0.6708988975054363,0.0025486990220109362
5582.0,0.6712367763557181,0.0003378788502818031
5881.0,0.6064194980045203,0.06481727835119777
6141.0,0.5948209315780276,0.011598566426492707
6164.0,0.5932343121838912,0.0015866193941364015
6182.0,0.5930170694764109,0.00021724270748035845
6250.0,0.592987280707447,2.9788768963867618e-05
6311.0,-0.3639768313290958,0.9569641120365429
6528.0,-0.49566479277859266,0.13168796144949685
6550.0,-0.5139777882265977,0.01831299544800502
6622.0,-5.109776789757022,4.595799001530424
6689.0,-5.751221158686634,0.6414443689296121
7001.0,-1.3508311910110224,4.400389967675611
7092.0,-6.138929684095576,4.788098493084553
7149.0,-6.820403605819939,0.681473921724363
7259.0,-6.927569990512033,0.1071663846920945
7472.0,-6.942910651103224,0.015340660591190769
7620.0,-6.945126614722542,0.0022159636193181953
7656.0,-6.9454488622951205,0.0003222475725781493
7696.0,-6.945495789718571,4.692742345024925e-05
7819.0,-6.945502630590223,6.840871652258329e-06
7887.0,-6.9455036344521135,1.003861890502833e-06
8021.0,-6.945503782090835,1.4763872169254455e-07
8052.0,-6.945503803891933,2.1801097815909998e-08
8112.0,-6.945503856711764,5.2819831175554555e-08
8236.0,-6.945503857400586,6.888214443279139e-10
8242.0,-6.945503814561318,4.283926724468756e-08
8361.0,-6.94550385272685,3.816553117985677e-08
