Simulation Iteration,Q-Value,Q-value Difference
0.0,1.0,
73.0,0.9826005787928861,0.017399421207113908
127.0,6.122626711138692,5.140026132345806
241.0,7.925089159874846,1.8024624487361534
454.0,8.67259125449241,0.7475020946175643
460.0,8.867497266776873,0.1949060122844628
583.0,8.450053111208344,0.41744415556852843
592.0,8.844264951968047,0.39421184075970217
610.0,8.810588878474908,0.0336760734931385
676.0,8.135700300321353,0.6748885781535545
858.0,8.929486995986233,0.7937866956648794
876.0,8.684079170630783,0.24540782535544992
1045.0,8.66596275571064,0.018116414920143598
1145.0,8.82642043390047,0.1604576781898306
1156.0,8.815374403255092,0.011046030645378124
1162.0,8.816706850450684,0.0013324471955922235
1192.0,8.625522697226971,0.19118415322371263
1248.0,8.071405778552638,0.5541169186743335
1317.0,8.913881685354529,0.8424759068018908
1344.0,7.660906171099705,1.2529755142548238
1351.0,7.6641939895297195,0.0032878184300146884
1481.0,8.863280743349215,1.1990867538194951
1509.0,8.09145394551812,0.7718267978310944
1592.0,8.760756713279672,0.6693027677615522
1954.0,8.897803647559225,0.13704693427955306
2033.0,8.191127583806521,0.7066760637527043
2153.0,9.008955032415574,0.8178274486090533
2221.0,9.001167467854847,0.007787564560727489
2253.0,8.37198391304929,0.6291835548055573
2410.0,8.941417171426366,0.5694332583770763
2415.0,8.822804714326065,0.11861245710030133
2515.0,8.734837040567905,0.08796767375815939
2606.0,8.715317815078818,0.019519225489087688
2621.0,8.88327415368622,0.1679563386074019
2626.0,8.99921452667508,0.11594037298886128
2701.0,8.879987654326952,0.11922687234812912
2716.0,8.96338339732461,0.08339574299765928
2783.0,8.880306915193056,0.08307648213155439
2866.0,8.742661775651497,0.13764513954155966
2877.0,8.96613738700825,0.22347561135675242
2898.0,9.07615544821499,0.11001806120674118
3014.0,8.24265140188635,0.8335040463286401
3239.0,8.875811630140138,0.6331602282537876
3251.0,8.97505003698409,0.09923840684395202
3316.0,8.976489371199081,0.0014393342149912058
3325.0,8.976491562843192,2.1916441106384354e-06
3341.0,8.976491857724687,2.948814952219436e-07
3434.0,8.990832813151918,0.01434095542723135
3490.0,8.184325418975199,0.8065073941767196
3641.0,8.733357076952224,0.5490316579770251
3809.0,8.940607548668973,0.20725047171674937
3925.0,8.303586186005006,0.6370213626639671
4021.0,8.097223076447747,0.2063631095572589
4156.0,8.310934546231817,0.2137114697840694
4174.0,8.324729937161072,0.013795390929255191
4269.0,8.088837348067525,0.23589258909354704
4272.0,8.08878613727453,5.1210792994638155e-05
4277.0,8.0887796966332,6.440641330485164e-06
4317.0,8.281410529155734,0.19263083252253388
4336.0,8.113079662521052,0.16833086663468144
4394.0,8.288940029748883,0.1758603672278305
4436.0,7.828120287407524,0.4608197423413589
4492.0,7.619948448512971,0.20817183889455304
4527.0,7.290324265340347,0.32962418317262365
4716.0,7.3534341287442135,0.06310986340386648
4746.0,7.901409096491373,0.5479749677471597
4783.0,8.00933852715902,0.10792943066764682
4792.0,7.287698525056339,0.7216400021026814
5014.0,8.707119319910163,1.4194207948538242
5128.0,8.92377941785013,0.21666009793996643
5276.0,8.747276591845885,0.17650282600424383
5632.0,7.59793142068913,1.1493451711567557
5751.0,8.726684035715532,1.1287526150264027
5849.0,8.878648780940653,0.15196474522512027
6005.0,9.092787128180486,0.2141383472398335
6066.0,8.135024683849885,0.9577624443306014
6162.0,8.148802628167557,0.013777944317672208
6263.0,8.989220662119173,0.8404180339516163
6301.0,8.990541476836976,0.001320814717802321
6342.0,8.345466700525167,0.6450747763118088
6351.0,8.576116359189168,0.23064965866400122
6440.0,7.91235731028693,0.6637590489022385
6567.0,8.964327618814526,1.0519703085275962
6569.0,8.991902662075281,0.02757504326075555
6644.0,8.80183531162395,0.19006735045133105
6677.0,8.774765831025073,0.02706948059887715
6750.0,8.990886895987323,0.21612106496225003
6835.0,8.636630736070412,0.3542561599169112
6913.0,8.646471370339965,0.00984063426955295
6947.0,8.772555295275138,0.12608392493517329
6951.0,8.853389156852463,0.0808338615773252
6976.0,8.853469221156214,8.006430375040452e-05
7052.0,8.710320334189774,0.1431488869664399
7096.0,9.057237379769866,0.34691704558009206
7123.0,8.96213921362852,0.09509816614134614
7176.0,8.215167320121799,0.7469718935067213
7239.0,7.238967000581032,0.9762003195407667
7311.0,7.73856296412033,0.49959596353929836
